Frontiers in Pediatrics, Life Sciences
MORFAI JOURNAL, Engineering & Technology
Panangkaran Jurnal Penelitian Agama dan Masyarakat, Multidisciplinary
International Journal of Islamic Thought and Humanities, Humanities
Journal of Al-Qadisiyah for Computer Science and Mathematics, Engineering & Technology
Journal La Multiapp, Multidisciplinary
Journal of Korean Medical Association, Life Sciences
Investigative Magnetic Resonance Imaging, Multidisciplinary
ULTRASONOGRAPHY, Multidisciplinary
Journal of the Korean Neurological Association, Life Sciences
Korean Journal of Abdominal Radiology, Engineering & Technology
Journal of Praxis in Higher Education, Social Sciences
London Review of Education, Social Sciences
Journal of Contextual Behavioral Science, Multidisciplinary
Transcultural Psychiatry, Humanities
Pediatric Investigation, Multidisciplinary
Sleep and Biological Rhythms, Life Sciences
Journal of Geriatric Cardiology, Engineering & Technology
Image Analysis & Stereology, Multidisciplinary
The Ocular Surface, Multidisciplinary
The Saudi Dental Journal, Multidisciplinary
Insect Molecular Biology, Life Sciences
Nutrition Reviews, Life Sciences
Psychopharmacology, Life Sciences
Drug and Alcohol Review, Engineering & Technology
Wireless Power Transfer, Multidisciplinary
IET Electric Power Applications, Multidisciplinary
Economics, Business & Economics
Business Strategy and the Environment, Business & Economics
Business, management and economics, Business & Economics
Journal of Infrastructure Policy and Development, Social Sciences
International Journal of Organizational Leadership, Engineering & Technology
Heritage and Sustainable Development ISSN 2712-0554, Humanities
Technological and Economic Development of Economy, Business & Economics
Revista de turism, Multidisciplinary
International Journal of Computers Communications & Control, Social Sciences
MEST Journal, Multidisciplinary
SmartBot, Humanities
Advanced Robotics Research, Engineering & Technology
The Kitakanto Medical Journal, Life Sciences
Cognitive Linguistics, Humanities
Forschung im Ingenieurwesen, Multidisciplinary
International Journal of Microwave and Wireless Technologies, Engineering & Technology
Biomedizinische Technik/Biomedical Engineering, Engineering & Technology
The Plant Phenome Journal, Multidisciplinary
Study on China Physical Science, Multidisciplinary
Current Problems in Surgery, Multidisciplinary
Analysis in Theory and Applications, Multidisciplinary
Apidologie, Multidisciplinary
Ecological Applications, Multidisciplinary
Journal of Melittology, Engineering & Technology
U.S. Geological Survey circular/U.S. Geological Survey Circular, Multidisciplinary
General information product. U.S. Geological Survey, Multidisciplinary
Journal of Veterinary Internal Medicine, Life Sciences
Clinical Neurophysiology Practice, Life Sciences
Journal of Cutaneous Immunology and Allergy, Life Sciences
Trends in Immunotherapy, Multidisciplinary
Medical Entomology and Zoology, Life Sciences
Neurology and Clinical Neuroscience, Life Sciences
Journal of Central Nervous System Disease, Engineering & Technology
encephalitis, Multidisciplinary
International Linguistics Research, Humanities
The Lancet Child & Adolescent Health, Life Sciences
Prostaglandins & Other Lipid Mediators, Social Sciences
Annals of Vascular Diseases, Multidisciplinary
Journal of Neuroendovascular Therapy, Life Sciences
Journal of Clinical Imaging Science, Life Sciences
World Journal of Radiology, Engineering & Technology
ESMO Gastrointestinal Oncology, Life Sciences
Pancreatology, Multidisciplinary
Clinical Oncology, Life Sciences
Journal of the Korean Gastric Cancer Association, Engineering & Technology
Drugs & Aging, Multidisciplinary
Journal of Gastrointestinal Cancer, Engineering & Technology
Journal of Systems and Software, Engineering & Technology
Polymer International, Multidisciplinary
Frontiers in Soft Matter, Multidisciplinary
ScienceRise Pedagogical Education, Social Sciences
The Scientific Notes of the Pedagogical Department, Humanities
OPEN EDUCATIONAL E-ENVIRONMENT OF MODERN UNIVERSITY, Social Sciences
Journal of Psychopathology and Behavioral Assessment, Life Sciences
The Proceedings of the Annual Convention of the Japanese Psychological Association, Multidisciplinary
Applied Cognitive Psychology, Social Sciences
Japanese Psychological Research, Multidisciplinary
Steroids, Multidisciplinary
Algorithmica, Multidisciplinary
Discrete & Computational Geometry, Multidisciplinary
Tzu Chi Medical Journal, Life Sciences
Clinical Immunology, Life Sciences
Internal and Emergency Medicine, Life Sciences
International journal of Sport Studies for Health, Life Sciences
Family Practice, Multidisciplinary
Research for All, Multidisciplinary
Administration, Multidisciplinary
Patient Education and Counseling, Social Sciences
Journal of Adolescent and Young Adult Oncology, Life Sciences
Journal of Policy and Practice in Intellectual Disabilities, Social Sciences
Journal of Racial and Ethnic Health Disparities, Life Sciences
International Journal of Nursing Studies, Engineering & Technology
Collegian Journal of the Royal College of Nursing Australia, Engineering & Technology
Electrochemistry, Physical Sciences
Food Science of Animal Products, Life Sciences
Biofilm, Multidisciplinary
Korean Journal of Parasitology, Engineering & Technology
SoftwareX, Engineering & Technology
International Journal for Parasitology Parasites and Wildlife, Multidisciplinary
Acta Radiologica Open, Multidisciplinary
Journal of Biomedical Translational Research, Life Sciences
Journal of Korean Neurosurgical Society, Life Sciences
Bulletin of the Malaysian Mathematical Sciences Society, Physical Sciences
Boletín de la Sociedad Matemática Mexicana, Multidisciplinary
Proceedings of the Royal Society of Edinburgh Section A Mathematics, Physical Sciences
ETNA - Electronic Transactions on Numerical Analysis, Engineering & Technology
Analysis and Mathematical Physics, Physical Sciences
Complex Analysis and Operator Theory, Multidisciplinary
Information Geometry, Multidisciplinary
Foundations of Computational Mathematics, Physical Sciences
Osteoporosis and Sarcopenia, Multidisciplinary
Biodiversity Data Journal, Multidisciplinary
Journal of Asia-Pacific Biodiversity, Engineering & Technology
Bioscience of Microbiota Food and Health, Life Sciences
Probiotics and Antimicrobial Proteins, Multidisciplinary
Innovation, Multidisciplinary
Acta Pharmaceutica Hungarica, Multidisciplinary
Veterinary and Animal Science, Life Sciences
Journal of Magnetic Resonance, Engineering & Technology
Asian People Journal (APJ), Multidisciplinary
Syntax Idea, Multidisciplinary
Jurnal Bisnis dan Manajemen, Multidisciplinary
Al Mi yar Jurnal Ilmiah Pembelajaran Bahasa Arab dan Kebahasaaraban, Multidisciplinary
OMNICODE Journal (Omnicompetence Community Developement Journal), Multidisciplinary
International Journal of Progressive Sciences and Technologies, Engineering & Technology
Journal of Contemporary Gender and Child Studies, Engineering & Technology
IJID (International Journal on Informatics for Development), Engineering & Technology
Asian Journal of Social and Humanities, Humanities
Journal of Medical Genetics, Life Sciences
Experimental Astronomy, Physical Sciences
Applied Animal Science, Multidisciplinary
The Bovine Practitioner, Multidisciplinary
Veterinary Parasitology, Life Sciences
Journal of Agricultural and Applied Economics, Business & Economics
American Journal of Veterinary Research, Life Sciences
Psychiatric Services, Multidisciplinary
Administration and Policy in Mental Health and Mental Health Services Research, Social Sciences
Psychiatric Rehabilitation Journal, Multidisciplinary
The Journal of Behavioral Health Services & Research, Life Sciences
Metabolism Open, Multidisciplinary
Journal of Experimental Pharmacology, Life Sciences
Drug Healthcare and Patient Safety, Life Sciences
Clinical Pharmacology Advances and Applications, Life Sciences
Hepatic Medicine Evidence and Research, Life Sciences
Journal of Environmental and Public Health, Life Sciences
HIV/AIDS - Research and Palliative Care, Engineering & Technology
Oxford Open Immunology, Life Sciences
Neurological Research and Practice, Life Sciences
European Journal of Pharmaceutics and Biopharmaceutics, Engineering & Technology
Frontiers in Sustainability, Engineering & Technology
Rheumatology and Therapy, Multidisciplinary
Zeitschrift für Rheumatologie, Multidisciplinary
BMC Artificial Intelligence, Humanities
La radiologia medica, Multidisciplinary
Clinical Neuroradiology, Life Sciences
Archives of Orthopaedic and Trauma Surgery, Multidisciplinary
Endocrine Pathology, Life Sciences
Analytica Chimica Acta, Multidisciplinary
International Journal of Endocrinology and Metabolism, Engineering & Technology
International Journal of Preventive Medicine, Life Sciences
Canadian Journal of Infectious Diseases and Medical Microbiology, Life Sciences
Journal of Flexible and Printed Electronics, Engineering & Technology
ACS Synthetic Biology, Life Sciences
Annual Review of Biomedical Engineering, Engineering & Technology
Cell Systems, Engineering & Technology
Cold Spring Harbor Perspectives in Biology, Life Sciences
Current Opinion in Genetics & Development, Life Sciences
Taxon, Multidisciplinary
Gelar Jurnal Seni Budaya, Multidisciplinary
RESITAL JURNAL SENI PERTUNJUKAN, Multidisciplinary
Vektor nauki Tol yattinskogo gosudarstvennogo universiteta, Multidisciplinary
Frontier materials & technologies, Engineering & Technology
Molecular & Cellular Toxicology, Multidisciplinary
Kidney Research and Clinical Practice, Life Sciences
Korean Journal of Metals and Materials, Physical Sciences
Molecular Biotechnology, Engineering & Technology
Journal of Research on Language Education, Social Sciences
Eduvelop Journal of English Education and Development, Social Sciences
Metathesis Journal of English Language Literature and Teaching, Humanities
ENGLISH JOURNAL OF INDRAGIRI, Engineering & Technology
MIMESIS, Multidisciplinary
IJELTAL (Indonesian Journal of English Language Teaching and Applied Linguistics), Humanities
JOURNAL OF RESEARCH ON APPLIED LINGUISTICS LANGUAGE AND LANGUAGE TEACHING, Humanities
New Language Dimensions, Multidisciplinary
ELT Echo The Journal of English Language Teaching in Foreign Language Context, Engineering & Technology
SALEE Study of Applied Linguistics and English Education, Humanities
Englisia Journal of language education and humanities, Humanities
Trends in Neurosciences, Life Sciences
Molecular and Cellular Endocrinology, Multidisciplinary
Photochemistry and Photobiology, Physical Sciences
Clinical Chemistry and Laboratory Medicine (CCLM), Physical Sciences
ACS Food Science & Technology, Engineering & Technology
Journal of Biomolecular Structure and Dynamics, Engineering & Technology
Journal of Rehman Medical Institute, Life Sciences
Journal of Translational Genetics and Genomics, Life Sciences
Archives of Oral Biology, Life Sciences
Frontiers in Bioinformatics, Engineering & Technology
Intelligent Oncology, Life Sciences
Biostatistics Research, Multidisciplinary
Open Access Journal of Contraception, Engineering & Technology
International Journal of Computer Theory and Engineering, Engineering & Technology
University of Colombo Review, Engineering & Technology
BMC Medical Ethics, Humanities
International Journal of STD & AIDS, Engineering & Technology
Journal of Public Health in Africa, Life Sciences
Conflict and Health, Life Sciences
International Journal of Behavioral Medicine, Life Sciences
African Journal of Laboratory Medicine, Life Sciences
Health Security, Life Sciences
Global Health Research and Policy, Social Sciences
Journal of Empirical Research on Human Research Ethics, Humanities
Journal of Innovation and Entrepreneurship, Business & Economics
International Journal of Hepatology, Engineering & Technology
Journal of Global Health Reports, Life Sciences
Brazilian Journal of Veterinary Medicine/Revista Brasileira de Medicina Veterinária, Life Sciences
Pesquisa Veterinária Brasileira, Multidisciplinary
Semina Ciências Agrárias, Multidisciplinary
Revista Pró-UniverSUS, Multidisciplinary
Ambiente e Agua - An Interdisciplinary Journal of Applied Science, Multidisciplinary
